"date","issue_number","category","circulation","temporal"
"1851-08-08","88","artikel","Verenigde Staten","Dag"
"1841-04-11","71","artikel","Regionaal/lokaal","Dag"
"1843-02-09","17","artikel","Regionaal/lokaal","Dag"
"1859-12-22","3841","artikel","Landelijk","Dag"
"1848-10-17","83","artikel","Regionaal/lokaal","Dag"
"1854-09-26","77","artikel","Regionaal/lokaal","Dag"
"1846-03-22","67","artikel","Regionaal/lokaal","Dag"
"1849-02-21","157","artikel","Regionaal/lokaal","Dag"
"1851-12-26","155","artikel","Regionaal/lokaal","Dag"
"1860-08-31","4049","artikel","Landelijk","Dag"
"1858-03-20","3308","artikel","Landelijk","Dag"
"1860-05-15","57","artikel","Regionaal/lokaal","Dag"
"1860-11-03","130","artikel","Regionaal/lokaal","Dag"
"1853-11-15","135","artikel","Regionaal/lokaal","Dag"
"1848-04-10","86","artikel","Landelijk","Dag"
"1852-01-10","5","artikel","Regionaal/lokaal","Dag"
"1850-07-16","14","artikel","Regionaal/lokaal","Middag"
"1853-01-05","1735","artikel","Landelijk","Dag"
"1859-06-02","8565","artikel","Landelijk","Dag"
"1845-02-24","4142","artikel","Landelijk","Dag"
"1848-11-21","80","artikel","Regionaal/lokaal","Middag"
"1850-06-25","51","artikel","Regionaal/lokaal","Dag"
"1853-09-30","1957","artikel","Landelijk","Dag"
"1843-11-06","136","artikel","Regionaal/lokaal","Dag"
"1849-05-01","215","artikel","Regionaal/lokaal","Dag"
"1849-01-30","138","artikel","Regionaal/lokaal","Dag"
"1849-02-28","163","artikel","Regionaal/lokaal","Dag"
"1851-02-01","28","artikel","Landelijk","Dag"
"1847-12-31","158","artikel","Regionaal/lokaal","Dag"
"1849-03-23","36","artikel","Regionaal/lokaal","Dag"
"1858-02-12","","artikel","Regionaal/lokaal","Dag"
"1851-09-13","108","artikel","Regionaal/lokaal","Dag"
"1860-10-26","","artikel","Regionaal/lokaal","Dag"
"1855-02-23","47","artikel","Landelijk","Dag"
"1850-11-15","137","artikel","Regionaal/lokaal","Dag"
"1860-08-27","4046","artikel","Landelijk","Dag"
"1860-10-19","4092","artikel","Landelijk","Dag"
"1860-10-31","258","artikel","Landelijk","Dag"
"1849-03-14","175","artikel","Regionaal/lokaal","Dag"
"1851-12-27","52","artikel","Nederlandse Antillen","Dag"
"1840-02-26","41","artikel","Regionaal/lokaal","Dag"
"1848-03-23","71","artikel","Landelijk","Dag"
"1848-12-20","105","artikel","Regionaal/lokaal","Middag"
"1860-08-13","97","artikel","Regionaal/lokaal","Dag"
"1857-12-22","3236","artikel","Landelijk","Dag"
"1843-10-31","87","artikel","Regionaal/lokaal","Dag"
"1860-02-02","3875","artikel","Landelijk","Dag"
"1859-10-17","98","artikel","Regionaal/lokaal","Dag"
"1843-09-06","110","artikel","Regionaal/lokaal","Dag"
"1840-04-14","75","artikel","Regionaal/lokaal","Dag"
"1857-05-13","113","artikel","Regionaal/lokaal","Dag"
"1851-04-01","","artikel","Regionaal/lokaal","Dag"
"1857-05-09","3047","artikel","Landelijk","Dag"
"1859-01-31","26","artikel","Regionaal/lokaal","Dag"
"1840-07-11","136","artikel","Regionaal/lokaal","Dag"
"1859-07-04","3696","artikel","Landelijk","Dag"
"1857-12-11","294","artikel","Regionaal/lokaal","Dag"
"1856-06-02","130","artikel","Regionaal/lokaal","Dag"
"1851-02-28","26","artikel","Regionaal/lokaal","Dag"
"1851-05-16","59","artikel","Regionaal/lokaal","Dag"
"1856-11-28","283","artikel","Regionaal/lokaal","Dag"
"1842-04-26","49","artikel","Regionaal/lokaal","Dag"
"1857-03-06","7870","artikel","Landelijk","Dag"
"1860-09-11","107","artikel","Regionaal/lokaal","Dag"
"1857-08-08","93","artikel","Regionaal/lokaal","Dag"
"1850-04-21","77","artikel","Regionaal/lokaal","Dag"
"1857-08-05","183","artikel","Landelijk","Dag"
"1850-03-25","36","artikel","Regionaal/lokaal","Dag"
"1860-09-08","249","artikel","Landelijk","Dag"
"1854-09-23","225","artikel","Landelijk","Dag"
"1860-04-19","93","artikel","Regionaal/lokaal","Dag"
"1853-02-14","19","artikel","Regionaal/lokaal","Dag"
"1852-02-08","34","artikel","Landelijk","Dag"
"1858-02-13","37","artikel","Regionaal/lokaal","Dag"
"1849-03-12","173","artikel","Regionaal/lokaal","Dag"
"1848-03-22","70","artikel","Landelijk","Dag"
"1846-06-10","69","artikel","Regionaal/lokaal","Dag"
"1860-01-17","3861","artikel","Landelijk","Dag"
"1860-09-08","214","artikel","Regionaal/lokaal","Dag"
"1849-02-01","140","artikel","Regionaal/lokaal","Dag"
"1843-11-07","89","artikel","Regionaal/lokaal","Dag"
"1850-10-28","103","artikel","Regionaal/lokaal","Middag"
"1856-09-02","208","artikel","Regionaal/lokaal","Dag"
"1851-05-23","41","artikel","Regionaal/lokaal","Dag"
"1849-10-30","367","artikel","Regionaal/lokaal","Dag"
"1850-01-03","2","artikel","Regionaal/lokaal","Dag"
"1859-09-10","108","artikel","Regionaal/lokaal","Dag"
"1857-10-05","235","artikel","Landelijk","Dag"
"1847-09-25","114","artikel","Regionaal/lokaal","Dag"
"1846-09-24","113","artikel","Regionaal/lokaal","Dag"
"1859-06-29","3693","artikel","Landelijk","Dag"
"1859-07-22","3712","artikel","Landelijk","Dag"
"1850-09-20","71","artikel","Regionaal/lokaal","Middag"
"1849-01-17","127","artikel","Regionaal/lokaal","Dag"
"1859-01-20","17","artikel","Regionaal/lokaal","Dag"
"1845-11-21","93","artikel","Regionaal/lokaal","Dag"
"1849-04-04","193","artikel","Regionaal/lokaal","Dag"
"1850-04-03","40","artikel","Regionaal/lokaal","Dag"
"1858-01-30","3266","artikel","Landelijk","Dag"
"1848-10-27","129","artikel","Regionaal/lokaal","Dag"
"1845-03-01","","artikel","Regionaal/lokaal","Dag"
"1843-07-07","81","artikel","Regionaal/lokaal","Dag"
"1850-05-22","61","artikel","Regionaal/lokaal","Dag"
"1842-08-02","61","artikel","Regionaal/lokaal","Dag"
"1848-03-21","69","artikel","Landelijk","Dag"
"1859-10-21","248","artikel","Regionaal/lokaal","Dag"
"1849-08-20","100","artikel","Regionaal/lokaal","Dag"
"1860-08-13","97","artikel","Regionaal/lokaal","Dag"
"1857-10-28","254","artikel","Regionaal/lokaal","Dag"
"1852-11-26","281","artikel","Landelijk","Dag"
"1850-01-01","1","artikel","Regionaal/lokaal","Dag"
"1850-10-22","98","artikel","Regionaal/lokaal","Middag"
"1857-10-06","120","artikel","Regionaal/lokaal","Dag"
"1856-05-14","113","artikel","Regionaal/lokaal","Dag"
"1845-07-01","153","artikel","Landelijk","Dag"
"1860-08-29","4048","artikel","Landelijk","Dag"
"1853-12-18","299","artikel","Landelijk","Dag"
"1849-01-26","23","artikel","Landelijk","Dag"
"1854-09-12","215","artikel","Landelijk","Dag"
"1849-04-04","41","artikel","Regionaal/lokaal","Dag"
"1849-02-07","17","artikel","Regionaal/lokaal","Dag"
"1848-10-02","37","artikel","Regionaal/lokaal","Middag"
"1843-07-03","79","artikel","Regionaal/lokaal","Dag"
"1859-11-24","3817","artikel","Landelijk","Dag"
"1853-03-11","1790","artikel","Landelijk","Dag"
"1846-08-29","102","artikel","Regionaal/lokaal","Dag"
"1856-05-21","41","artikel","Regionaal/lokaal","Dag"
"1859-06-01","130","artikel","Regionaal/lokaal","Dag"
"1847-03-23","35","artikel","Regionaal/lokaal","Dag"
"1858-09-10","214","artikel","Landelijk","Dag"
"1850-04-08","42","artikel","Regionaal/lokaal","Dag"
"1852-12-15","150","artikel","Regionaal/lokaal","Dag"
"1847-10-20","126","artikel","Regionaal/lokaal","Dag"
"1860-09-22","112","artikel","Regionaal/lokaal","Dag"
"1840-01-31","9","artikel","Regionaal/lokaal","Dag"
"1857-09-05","105","artikel","Regionaal/lokaal","Dag"
"1860-04-17","92","artikel","Regionaal/lokaal","Dag"
"1855-12-09","292","artikel","Landelijk","Dag"
"1857-07-29","177","artikel","Landelijk","Dag"
"1850-04-05","28","artikel","Regionaal/lokaal","Dag"
"1860-04-20","95","artikel","Regionaal/lokaal","Dag"
"1848-02-11","18","artikel","Regionaal/lokaal","Dag"
"1845-05-19","60","artikel","Regionaal/lokaal","Dag"
"1851-11-19","139","artikel","Regionaal/lokaal","Dag"
"1846-10-23","","artikel","Regionaal/lokaal","Dag"
"1845-02-09","17","artikel","Regionaal/lokaal","Dag"
"1850-10-30","105","artikel","Regionaal/lokaal","Middag"
"1860-04-13","103","artikel","Landelijk","Dag"
"1860-10-13","243","artikel","Landelijk","Dag"
"1845-02-10","18","artikel","Regionaal/lokaal","Dag"
"1860-04-13","89","artikel","Regionaal/lokaal","Dag"
"1850-08-02","92","artikel","Regionaal/lokaal","Dag"
"1849-02-28","26","artikel","Regionaal/lokaal","Dag"
"1851-04-14","45","artikel","Regionaal/lokaal","Dag"
"1860-07-14","166","artikel","Regionaal/lokaal","Dag"
"1850-11-07","112","artikel","Regionaal/lokaal","Middag"
"1860-01-09","3854","artikel","Landelijk","Dag"
"1860-10-20","4093","artikel","Landelijk","Dag"
"1853-06-12","21","artikel","Landelijk","Dag"
"1856-10-24","86","artikel","Regionaal/lokaal","Dag"
"1848-10-17","50","artikel","Regionaal/lokaal","Middag"
"1852-11-25","280","artikel","Landelijk","Dag"
"1850-03-31","64","artikel","Regionaal/lokaal","Dag"
"1851-10-31","100","artikel","Verenigde Staten","Dag"
"1849-11-26","142","artikel","Regionaal/lokaal","Dag"
"1843-10-23","126","artikel","Regionaal/lokaal","Dag"
"1857-12-08","290","artikel","Landelijk","Dag"
"1849-08-24","102","artikel","Regionaal/lokaal","Dag"
"1843-10-11","125","artikel","Regionaal/lokaal","Dag"
"1857-10-18","125","artikel","Regionaal/lokaal","Dag"
"1857-12-12","3228","artikel","Landelijk","Dag"
"1859-07-05","3697","artikel","Landelijk","Dag"
"1860-03-22","3917","artikel","Landelijk","Dag"
"1857-11-12","269","artikel","Regionaal/lokaal","Dag"
"1854-09-25","7111","artikel","Landelijk","Dag"
"1860-09-25","226","artikel","Regionaal/lokaal","Dag"
"1859-05-14","57","artikel","Regionaal/lokaal","Dag"
"1856-07-19","85","artikel","Regionaal/lokaal","Dag"
"1860-07-09","187","artikel","Landelijk","Dag"
"1848-05-11","99","artikel","Regionaal/lokaal","Dag"
"1860-09-06","4055","artikel","Landelijk","Dag"
"1857-01-22","19","artikel","Landelijk","Dag"
"1856-06-04","67","artikel","Regionaal/lokaal","Dag"
"1851-04-24","48","artikel","Regionaal/lokaal","Dag"
"1856-07-27","176","artikel","Regionaal/lokaal","Dag"
"1860-11-24","139","artikel","Regionaal/lokaal","Dag"
"1848-03-10","","artikel","Regionaal/lokaal","Dag"
"1843-01-27","8","artikel","Regionaal/lokaal","Dag"
"1848-12-24","266","artikel","Regionaal/lokaal","Dag"
"1853-03-12","1791","artikel","Landelijk","Dag"
"1844-01-08","4","artikel","Regionaal/lokaal","Dag"
"1850-09-13","112","artikel","Regionaal/lokaal","Dag"
"1847-09-13","218","artikel","Landelijk","Dag"
"1860-01-28","3871","artikel","Landelijk","Dag"
"1851-07-24","1294","artikel","Landelijk","Dag"
"1859-07-09","159","artikel","Regionaal/lokaal","Dag"
"1853-04-29","101","artikel","Landelijk","Dag"
"1860-09-20","111","artikel","Regionaal/lokaal","Dag"
"1860-02-24","3894","artikel","Landelijk","Dag"
"1856-05-03","105","artikel","Landelijk","Dag"
"1854-11-22","276","artikel","Landelijk","Dag"
"1856-07-03","157","artikel","Regionaal/lokaal","Dag"
"1850-03-20","68","artikel","Landelijk","Dag"
"1851-02-07","1156","artikel","Landelijk","Dag"
"1850-08-12","37","artikel","Regionaal/lokaal","Middag"
"1854-05-18","117","artikel","Landelijk","Dag"
"1853-06-15","163","artikel","Landelijk","Dag"
"1852-01-17","8","artikel","Regionaal/lokaal","Dag"
"1860-01-14","3859","artikel","Landelijk","Dag"
"1844-12-18","74","artikel","Regionaal/lokaal","Dag"
"1854-03-04","18","artikel","Regionaal/lokaal","Dag"
"1851-06-20","74","artikel","Regionaal/lokaal","Dag"
"1849-09-14","111","artikel","Regionaal/lokaal","Dag"
"1860-04-14","90","artikel","Regionaal/lokaal","Dag"
"1849-07-27","90","artikel","Regionaal/lokaal","Dag"
"1848-05-01","104","artikel","Landelijk","Dag"
"1850-04-19","47","artikel","Regionaal/lokaal","Dag"
"1856-05-25","63","artikel","Regionaal/lokaal","Dag"
"1855-08-11","220","artikel","Landelijk","Dag"
"1854-07-08","79","artikel","Regionaal/lokaal","Dag"
"1858-12-30","156","artikel","Regionaal/lokaal","Dag"
"1851-06-11","136","artikel","Landelijk","Dag"
"1859-10-08","237","artikel","Regionaal/lokaal","Dag"
"1848-11-22","140","artikel","Regionaal/lokaal","Dag"
"1851-02-28","","artikel","Regionaal/lokaal","Dag"
"1846-04-17","46","artikel","Regionaal/lokaal","Dag"
"1860-04-24","48","artikel","Regionaal/lokaal","Dag"
"1859-09-03","207","artikel","Regionaal/lokaal","Dag"
"1859-09-13","218","artikel","Regionaal/lokaal","Dag"
"1854-09-26","","artikel","Regionaal/lokaal","Dag"
"1856-04-29","2737","artikel","Landelijk","Dag"
"1853-05-09","55","artikel","Regionaal/lokaal","Dag"
"1858-01-29","","artikel","Regionaal/lokaal","Dag"
"1844-12-18","74","artikel","Regionaal/lokaal","Dag"
"1840-03-25","61","artikel","Regionaal/lokaal","Dag"
"1858-02-12","43","artikel","Landelijk","Dag"
"1860-09-03","210","artikel","Regionaal/lokaal","Dag"
"1857-11-02","260","artikel","Regionaal/lokaal","Dag"
"1856-08-05","63","artikel","Regionaal/lokaal","Dag"
"1850-05-17","40","artikel","Regionaal/lokaal","Dag"
"1851-04-23","49","artikel","Regionaal/lokaal","Dag"
"1855-12-22","303","artikel","Landelijk","Dag"
"1851-06-11","70","artikel","Regionaal/lokaal","Dag"
"1849-05-25","235","artikel","Regionaal/lokaal","Dag"
"1859-07-30","3719","artikel","Landelijk","Dag"
"1846-04-08","42","artikel","Regionaal/lokaal","Dag"
"1853-06-01","44","artikel","Regionaal/lokaal","Dag"
"1848-10-26","256","artikel","Landelijk","Dag"
"1860-04-17","","artikel","Regionaal/lokaal","Dag"
"1860-11-10","135","artikel","Regionaal/lokaal","Dag"
"1849-01-16","14","artikel","Landelijk","Dag"
"1850-04-19","47","artikel","Regionaal/lokaal","Dag"
"1848-10-17","83","artikel","Regionaal/lokaal","Dag"
"1849-10-01","118","artikel","Regionaal/lokaal","Dag"
"1860-08-30","102","artikel","Regionaal/lokaal","Dag"
"1860-05-21","3966","artikel","Landelijk","Dag"
"1852-06-08","46","artikel","Regionaal/lokaal","Dag"
"1857-04-20","92","artikel","Regionaal/lokaal","Dag"
"1853-08-16","192","artikel","Landelijk","Dag"
"1860-06-09","8883","artikel","Landelijk","Dag"
"1848-09-08","108","artikel","Regionaal/lokaal","Dag"
"1851-12-30","308","artikel","Regionaal/lokaal","Dag"
"1856-06-15","72","artikel","Regionaal/lokaal","Dag"
"1851-04-29","51","artikel","Regionaal/lokaal","Dag"
"1854-05-24","122","artikel","Regionaal/lokaal","Dag"
"1854-02-14","2071","artikel","Landelijk","Dag"
"1841-10-13","123","artikel","Regionaal/lokaal","Dag"
"1857-02-27","50","artikel","Regionaal/lokaal","Dag"
"1860-10-16","124","artikel","Regionaal/lokaal","Dag"
"1844-04-27","51","artikel","Regionaal/lokaal","Dag"
"1854-08-27","202","artikel","Landelijk","Dag"
"1860-09-04","210","artikel","Regionaal/lokaal","Dag"
"1860-03-05","64","artikel","Landelijk","Dag"
"1860-02-03","3876","artikel","Landelijk","Dag"
"1846-03-13","31","artikel","Regionaal/lokaal","Dag"
"1854-10-11","81","artikel","Nederlands-Indië / Indonesië","Dag"
"1844-02-28","26","artikel","Regionaal/lokaal","Dag"
"1848-09-27","116","artikel","Regionaal/lokaal","Dag"
"1851-03-21","","artikel","Regionaal/lokaal","Dag"
"1860-03-03","3901","artikel","Landelijk","Dag"
"1856-07-19","169","artikel","Regionaal/lokaal","Dag"
"1856-07-12","82","artikel","Regionaal/lokaal","Dag"
"1859-10-13","243","artikel","Landelijk","Dag"
"1856-03-21","70","artikel","Landelijk","Dag"
"1860-10-25","9001","artikel","Landelijk","Dag"
"1859-08-11","95","artikel","Regionaal/lokaal","Dag"
"1853-12-02","285","artikel","Landelijk","Dag"
"1853-08-28","203","artikel","Landelijk","Dag"
"1848-03-03","18","artikel","Regionaal/lokaal","Dag"
"1848-10-19","52","artikel","Regionaal/lokaal","Middag"
"1860-08-27","4046","artikel","Landelijk","Dag"
"1848-12-15","100","artikel","Regionaal/lokaal","Dag"
"1849-04-24","209","artikel","Regionaal/lokaal","Dag"
"1850-04-10","43","artikel","Regionaal/lokaal","Dag"
"1850-04-12","30","artikel","Regionaal/lokaal","Dag"
"1850-06-24","75","artikel","Regionaal/lokaal","Dag"
"1848-03-22","70","artikel","Regionaal/lokaal","Dag"
"1855-07-17","57","artikel","Regionaal/lokaal","Dag"
"1856-01-12","6","artikel","Regionaal/lokaal","Dag"
"1859-12-20","299","artikel","Regionaal/lokaal","Dag"
"1856-03-17","2702","artikel","Landelijk","Dag"
"1848-03-04","46","artikel","Regionaal/lokaal","Dag"
"1860-12-06","98","artikel","Regionaal/lokaal","Dag"
"1853-06-30","152","artikel","Landelijk","Dag"
"1853-05-17","10","artikel","Landelijk","Dag"
"1849-01-30","9","artikel","Regionaal/lokaal","Dag"
"1841-03-06","2911","artikel","Landelijk","Dag"
"1856-01-10","9","artikel","Landelijk","Dag"
"1840-10-17","207","artikel","Regionaal/lokaal","Dag"
"1847-01-14","12","artikel","Regionaal/lokaal","Dag"
"1859-06-02","131","artikel","Regionaal/lokaal","Dag"
"1851-11-04","1380","artikel","Landelijk","Dag"
"1846-06-08","68","artikel","Regionaal/lokaal","Dag"
"1854-10-20","248","artikel","Landelijk","Dag"
"1844-04-05","42","artikel","Regionaal/lokaal","Dag"
"1860-04-20","93","artikel","Regionaal/lokaal","Dag"
"1860-05-26","62","artikel","Regionaal/lokaal","Dag"
"1852-03-06","29","artikel","Regionaal/lokaal","Dag"
"1846-04-15","45","artikel","Regionaal/lokaal","Dag"
"1841-10-01","","artikel","Regionaal/lokaal","Dag"
"1842-03-27","62","artikel","Regionaal/lokaal","Dag"
"1840-01-11","4","artikel","Nederlands-Indië / Indonesië","Dag"
"1848-03-05","47","artikel","Regionaal/lokaal","Dag"
"1860-10-23","4095","artikel","Landelijk","Dag"
"1850-08-14","97","artikel","Regionaal/lokaal","Dag"
"1846-02-02","14","artikel","Regionaal/lokaal","Dag"
"1849-05-29","43","artikel","Regionaal/lokaal","Dag"
"1851-09-21","76","artikel","Regionaal/lokaal","Dag"
"1852-02-23","54","artikel","Landelijk","Dag"
"1853-02-16","1770","artikel","Landelijk","Dag"
"1860-02-27","3896","artikel","Landelijk","Dag"
"1845-07-29","88","artikel","Regionaal/lokaal","Dag"
"1852-04-26","50","artikel","Regionaal/lokaal","Dag"
"1859-12-20","3839","artikel","Landelijk","Dag"
"1844-02-14","20","artikel","Regionaal/lokaal","Dag"
"1851-01-12","11","artikel","Landelijk","Dag"
"1851-05-14","1236","artikel","Landelijk","Dag"
"1850-12-28","154","artikel","Regionaal/lokaal","Middag"
"1857-07-19","86","artikel","Regionaal/lokaal","Dag"
"1860-12-05","146","artikel","Regionaal/lokaal","Dag"
"1844-12-06","147","artikel","Regionaal/lokaal","Dag"
"1856-12-24","305","artikel","Regionaal/lokaal","Dag"
"1859-12-12","292","artikel","Regionaal/lokaal","Dag"
"1857-12-12","293","artikel","Regionaal/lokaal","Dag"
"1854-08-04","2212","artikel","Landelijk","Dag"
"1849-10-31","131","artikel","Regionaal/lokaal","Dag"
"1858-04-10","85","artikel","Regionaal/lokaal","Dag"
"1843-11-06","136","artikel","Regionaal/lokaal","Dag"
"1855-05-05","36","artikel","Regionaal/lokaal","Dag"
"1853-07-22","49","artikel","Landelijk","Dag"
"1858-09-03","3445","artikel","Landelijk","Dag"
"1860-10-22","251","artikel","Regionaal/lokaal","Dag"
"1856-09-16","220","artikel","Regionaal/lokaal","Dag"
"1849-01-29","13","artikel","Regionaal/lokaal","Dag"
"1848-03-28","","artikel","Regionaal/lokaal","Dag"
"1850-10-19","122","artikel","Regionaal/lokaal","Dag"
"1841-12-10","148","artikel","Regionaal/lokaal","Dag"
"1842-09-01","103","artikel","Regionaal/lokaal","Dag"
"1852-03-15","32","artikel","Regionaal/lokaal","Dag"
"1859-10-14","8679","artikel","Landelijk","Dag"
"1860-02-02","14","artikel","Regionaal/lokaal","Dag"
"1852-12-04","1710","artikel","Landelijk","Dag"
"1848-08-28","7","artikel","Regionaal/lokaal","Middag"
"1859-05-02","102","artikel","Regionaal/lokaal","Dag"
"1843-07-26","92","artikel","Regionaal/lokaal","Dag"
"1857-11-18","273","artikel","Landelijk","Dag"
"1853-02-12","37","artikel","Landelijk","Dag"
"1841-12-10","148","artikel","Regionaal/lokaal","Dag"
"1846-12-11","148","artikel","Regionaal/lokaal","Dag"
"1848-10-23","55","artikel","Regionaal/lokaal","Middag"
"1857-03-11","60","artikel","Landelijk","Dag"
"1846-11-06","133","artikel","Regionaal/lokaal","Dag"
"1860-09-27","230","artikel","Regionaal/lokaal","Dag"
"1860-10-06","238","artikel","Regionaal/lokaal","Dag"
"1850-08-02","62","artikel","Regionaal/lokaal","Dag"
"1859-10-17","3785","artikel","Landelijk","Dag"
"1850-09-24","187","artikel","Regionaal/lokaal","Dag"
"1849-08-19","161","artikel","Regionaal/lokaal","Dag"
"1849-04-06","28","artikel","Regionaal/lokaal","Dag"
"1853-04-27","99","artikel","Landelijk","Dag"
"1843-10-30","133","artikel","Regionaal/lokaal","Dag"
"1843-01-03","1","artikel","Regionaal/lokaal","Dag"
"1860-09-17","219","artikel","Regionaal/lokaal","Dag"
"1858-01-12","3249","artikel","Landelijk","Dag"
"1850-03-14","63","artikel","Regionaal/lokaal","Dag"
"1853-07-26","87","artikel","Regionaal/lokaal","Dag"
"1857-06-05","132","artikel","Regionaal/lokaal","Dag"
"1859-05-17","117","artikel","Regionaal/lokaal","Dag"
"1850-12-20","152","artikel","Regionaal/lokaal","Dag"
"1850-10-23","1069","artikel","Landelijk","Dag"
"1857-10-22","251","artikel","Regionaal/lokaal","Dag"
"1859-12-16","","artikel","Regionaal/lokaal","Dag"
"1851-06-21","72","artikel","Regionaal/lokaal","Dag"
"1859-10-04","233","artikel","Regionaal/lokaal","Dag"
"1852-04-07","42","artikel","Regionaal/lokaal","Dag"
"1845-04-26","82","artikel","Regionaal/lokaal","Dag"
"1849-01-29","137","artikel","Regionaal/lokaal","Dag"
